OH-2012, 2010A, Definition
state<V>, 0.472137, Statewide fractional D vote
t-bias, -0.005089, state<V> minus average district D vote
S-fptp, 4, Seats from first past the post
S<V>est, 4.510606, Seats at state<V>
S50est, 5.658771, Seats at V=0.5
BS<V>, 11.3572, % Geometric Seat Bias at statewide<V>
BS50, 14.632681, % Simple Bias at V=0.5
BV<V>, 1.737894, % Vote Bias at statewide<V>
BV50, 2.938587, % Vote Bias at V=0.5
R<V>, 1.530383, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.502085, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 1.866545, Number of responsive districts at statewide <V>
RD50, 5.007485, Number of responsive districts at V=0.5
EG<V>fpp, 19.427400, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 16.236109, Efficiency Gap at state<V> using estimated S(V)
