OH-2012, 2010T, Definition
state<V>, 0.426716, Statewide fractional D vote
t-bias, -0.006602, state<V> minus average district D vote
S-fptp, 4, Seats from first past the post
S<V>est, 3.946158, Seats at state<V>
S50est, 5.743897, Seats at V=0.5
BS<V>, -3.0731, % Geometric Seat Bias at statewide<V>
BS50, 14.100644, % Simple Bias at V=0.5
BV<V>, -0.490279, % Vote Bias at statewide<V>
BV50, 2.649720, % Vote Bias at V=0.5
R<V>, 0.443769, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.777923, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 0.483070, Number of responsive districts at statewide <V>
RD50, 5.335974, Number of responsive districts at V=0.5
EG<V>fpp, 10.343200, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 10.679713, Efficiency Gap at state<V> using estimated S(V)
