OH-2012, 2006T, Definition
state<V>, 0.578692, Statewide fractional D vote
t-bias, -0.002244, state<V> minus average district D vote
S-fptp, 12, Seats from first past the post
S<V>est, 11.953256, Seats at state<V>
S50est, 6.176344, Seats at V=0.5
BS<V>, 2.47168, % Geometric Seat Bias at statewide<V>
BS50, 11.397850, % Simple Bias at V=0.5
BV<V>, 1.328139, % Vote Bias at statewide<V>
BV50, 2.630283, % Vote Bias at V=0.5
R<V>, 4.559135, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.638264, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 7.016858, Number of responsive districts at statewide <V>
RD50, 5.839008, Number of responsive districts at V=0.5
EG<V>fpp, -9.261600, Efficiency Gap at state<V> using first past post S
EG<V>S(V), -8.969450, Efficiency Gap at state<V> using estimated S(V)
