MA-2012, 2010A, Definition
state<V>, 0.511344, Statewide fractional D vote
t-bias, -0.010667, state<V> minus average district D vote
S-fptp, 3, Seats from first past the post
S<V>est, 4.404141, Seats at state<V>
S50est, 3.772289, Seats at V=0.5
BS<V>, 7.7895, % Geometric Seat Bias at statewide<V>
BS50, 8.085674, % Simple Bias at V=0.5
BV<V>, 1.283505, % Vote Bias at statewide<V>
BV50, 1.285485, % Vote Bias at V=0.5
R<V>, 6.848943, Responsiveness as a slope in S(V) at statewide<V>
R50, 5.858070, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 5.638239, Number of responsive districts at statewide <V>
RD50, 5.129116, Number of responsive districts at V=0.5
EG<V>fpp, 18.935467, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 3.333903, Efficiency Gap at state<V> using estimated S(V)
