CO-2012, 2012P, Definition
state<V>, 0.527501, Statewide fractional D vote
t-bias, 0.003873, state<V> minus average district D vote
S-fptp, 4, Seats from first past the post
S<V>est, 3.933812, Seats at state<V>
S50est, 3.388778, Seats at V=0.5
BS<V>, 2.57004, % Geometric Seat Bias at statewide<V>
BS50, 1.588879, % Simple Bias at V=0.5
BV<V>, 0.688199, % Vote Bias at statewide<V>
BV50, 0.510851, % Vote Bias at V=0.5
R<V>, 2.665207, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.252064, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 1.643838, Number of responsive districts at statewide <V>
RD50, 1.960936, Number of responsive districts at V=0.5
EG<V>fpp, -1.642657, Efficiency Gap at state<V> using first past post S
EG<V>S(V), -0.697117, Efficiency Gap at state<V> using estimated S(V)
