CO-2012, 2010-12D, Definition
state<V>, 0.499043, Statewide fractional D vote
t-bias, 0.002731, state<V> minus average district D vote
S-fptp, 3, Seats from first past the post
S<V>est, 3.347191, Seats at state<V>
S50est, 3.371522, Seats at V=0.5
BS<V>, 1.83604, % Geometric Seat Bias at statewide<V>
BS50, 1.835399, % Simple Bias at V=0.5
BV<V>, 0.503704, % Vote Bias at statewide<V>
BV50, 0.503841, % Vote Bias at V=0.5
R<V>, 3.702863, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.702863, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 2.342416, Number of responsive districts at statewide <V>
RD50, 2.344332, Number of responsive districts at V=0.5
EG<V>fpp, 6.951457, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 1.991588, Efficiency Gap at state<V> using estimated S(V)
