PA-2012, 2012P, Definition
state<V>, 0.527314, Statewide fractional D vote
t-bias, 0.004895, state<V> minus average district D vote
S-fptp, 5, Seats from first past the post
S<V>est, 7.053069, Seats at state<V>
S50est, 5.728428, Seats at V=0.5
BS<V>, 16.9466, % Geometric Seat Bias at statewide<V>
BS50, 18.175399, % Simple Bias at V=0.5
BV<V>, 4.901055, % Vote Bias at statewide<V>
BV50, 5.143041, % Vote Bias at V=0.5
R<V>, 3.503659, Responsiveness as a slope in S(V) at statewide<V>
R50, 2.158510, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 5.695856, Number of responsive districts at statewide <V>
RD50, 3.749063, Number of responsive districts at V=0.5
EG<V>fpp, 27.685022, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 16.279081, Efficiency Gap at state<V> using estimated S(V)
