PA-2012, 2008AG, Definition
state<V>, 0.465930, Statewide fractional D vote
t-bias, 0.001165, state<V> minus average district D vote
S-fptp, 6, Seats from first past the post
S<V>est, 5.384146, Seats at state<V>
S50est, 6.539386, Seats at V=0.5
BS<V>, 11.6333, % Geometric Seat Bias at statewide<V>
BS50, 13.670076, % Simple Bias at V=0.5
BV<V>, 2.125860, % Vote Bias at statewide<V>
BV50, 4.133417, % Vote Bias at V=0.5
R<V>, 1.653067, Responsiveness as a slope in S(V) at statewide<V>
R50, 2.210134, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 2.752257, Number of responsive districts at statewide <V>
RD50, 3.468432, Number of responsive districts at V=0.5
EG<V>fpp, 9.852667, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 13.274077, Efficiency Gap at state<V> using estimated S(V)
