SC-2012, 2006T, Definition
state<V>, 0.478087, Statewide fractional D vote
t-bias, -0.001749, state<V> minus average district D vote
S-fptp, 2, Seats from first past the post
S<V>est, 2.056446, Seats at state<V>
S50est, 2.680029, Seats at V=0.5
BS<V>, 10.3817, % Geometric Seat Bias at statewide<V>
BS50, 11.713874, % Simple Bias at V=0.5
BV<V>, 1.649262, % Vote Bias at statewide<V>
BV50, 2.214838, % Vote Bias at V=0.5
R<V>, 3.485462, Responsiveness as a slope in S(V) at statewide<V>
R50, 4.531978, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 2.237054, Number of responsive districts at statewide <V>
RD50, 2.885546, Number of responsive districts at V=0.5
EG<V>fpp, 17.045971, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 16.239593, Efficiency Gap at state<V> using estimated S(V)
