TX-2012, 2006AG, Definition
state<V>, 0.385012, Statewide fractional D vote
t-bias, -0.022433, state<V> minus average district D vote
S-fptp, 10, Seats from first past the post
S<V>est, 8.926283, Seats at state<V>
S50est, 16.766345, Seats at V=0.5
BS<V>, -10.7403, % Geometric Seat Bias at statewide<V>
BS50, 3.426820, % Simple Bias at V=0.5
BV<V>, -2.969387, % Vote Bias at statewide<V>
BV50, 0.789648, % Vote Bias at V=0.5
R<V>, 1.149166, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.964846, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 4.759233, Number of responsive districts at statewide <V>
RD50, 13.123999, Number of responsive districts at V=0.5
EG<V>fpp, -0.775378, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 2.207168, Efficiency Gap at state<V> using estimated S(V)
