OH-2012, 2010S, Definition
state<V>, 0.409390, Statewide fractional D vote
t-bias, -0.006799, state<V> minus average district D vote
S-fptp, 4, Seats from first past the post
S<V>est, 3.883949, Seats at state<V>
S50est, 5.802334, Seats at V=0.5
BS<V>, -6.82836, % Geometric Seat Bias at statewide<V>
BS50, 13.735412, % Simple Bias at V=0.5
BV<V>, -1.280822, % Vote Bias at statewide<V>
BV50, 2.681601, % Vote Bias at V=0.5
R<V>, 0.692194, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.659962, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 0.567198, Number of responsive districts at statewide <V>
RD50, 5.187371, Number of responsive districts at V=0.5
EG<V>fpp, 6.878000, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 7.603321, Efficiency Gap at state<V> using estimated S(V)
