OH-2012, 2006SoS, Definition
state<V>, 0.576380, Statewide fractional D vote
t-bias, -0.001657, state<V> minus average district D vote
S-fptp, 13, Seats from first past the post
S<V>est, 11.717085, Seats at state<V>
S50est, 6.241617, Seats at V=0.5
BS<V>, 3.06477, % Geometric Seat Bias at statewide<V>
BS50, 10.989893, % Simple Bias at V=0.5
BV<V>, 1.460325, % Vote Bias at statewide<V>
BV50, 2.717404, % Vote Bias at V=0.5
R<V>, 5.376509, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.380815, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 7.526886, Number of responsive districts at statewide <V>
RD50, 5.265198, Number of responsive districts at V=0.5
EG<V>fpp, -15.974000, Efficiency Gap at state<V> using first past post S
EG<V>S(V), -7.955779, Efficiency Gap at state<V> using estimated S(V)
