TN-2012, 2012S, Definition
state<V>, 0.319068, Statewide fractional D vote
t-bias, -0.003884, state<V> minus average district D vote
S-fptp, 1, Seats from first past the post
S<V>est, 1.178388, Seats at state<V>
S50est, 2.867025, Seats at V=0.5
BS<V>, -6.52742, % Geometric Seat Bias at statewide<V>
BS50, 18.144168, % Simple Bias at V=0.5
BV<V>, -4.810550, % Vote Bias at statewide<V>
BV50, 3.168312, % Vote Bias at V=0.5
R<V>, 0.904901, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.725032, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 0.586264, Number of responsive districts at statewide <V>
RD50, 2.899885, Number of responsive districts at V=0.5
EG<V>fpp, 2.702489, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 0.720400, Efficiency Gap at state<V> using estimated S(V)
