TX-2012, 2006S, Definition
state<V>, 0.368914, Statewide fractional D vote
t-bias, -0.022170, state<V> minus average district D vote
S-fptp, 6, Seats from first past the post
S<V>est, 7.435834, Seats at state<V>
S50est, 17.071607, Seats at V=0.5
BS<V>, -9.63391, % Geometric Seat Bias at statewide<V>
BS50, 2.578870, % Simple Bias at V=0.5
BV<V>, -3.466284, % Vote Bias at statewide<V>
BV50, 0.569588, % Vote Bias at V=0.5
R<V>, 1.736739, Responsiveness as a slope in S(V) at statewide<V>
R50, 4.240513, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 4.761938, Number of responsive districts at statewide <V>
RD50, 14.110496, Number of responsive districts at V=0.5
EG<V>fpp, 7.116133, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 3.127705, Efficiency Gap at state<V> using estimated S(V)
