OH-2012, 2006G, Definition
state<V>, 0.622917, Statewide fractional D vote
t-bias, -0.000105, state<V> minus average district D vote
S-fptp, 14, Seats from first past the post
S<V>est, 14.138396, Seats at state<V>
S50est, 6.908052, Seats at V=0.5
BS<V>, 2.22874, % Geometric Seat Bias at statewide<V>
BS50, 6.824675, % Simple Bias at V=0.5
BV<V>, 1.015493, % Vote Bias at statewide<V>
BV50, 1.733228, % Vote Bias at V=0.5
R<V>, 2.749701, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.661293, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 3.922162, Number of responsive districts at statewide <V>
RD50, 5.591001, Number of responsive districts at V=0.5
EG<V>fpp, -12.916600, Efficiency Gap at state<V> using first past post S
EG<V>S(V), -13.781574, Efficiency Gap at state<V> using estimated S(V)
