SC-2012, 2010C, Definition
state<V>, 0.434701, Statewide fractional D vote
t-bias, 0.000435, state<V> minus average district D vote
S-fptp, 1, Seats from first past the post
S<V>est, 1.096966, Seats at state<V>
S50est, 2.333456, Seats at V=0.5
BS<V>, 3.01126, % Geometric Seat Bias at statewide<V>
BS50, 16.664915, % Simple Bias at V=0.5
BV<V>, 0.511647, % Vote Bias at statewide<V>
BV50, 2.608550, % Vote Bias at V=0.5
R<V>, 0.661095, Responsiveness as a slope in S(V) at statewide<V>
R50, 5.140348, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 0.367535, Number of responsive districts at statewide <V>
RD50, 3.332912, Number of responsive districts at V=0.5
EG<V>fpp, 22.654486, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 21.269254, Efficiency Gap at state<V> using estimated S(V)
