IL-2012, 2008-10D, Definition
state<V>, 0.627217, Statewide fractional D vote
t-bias, -0.004923, state<V> minus average district D vote
S-fptp, 14, Seats from first past the post
S<V>est, 14.986672, Seats at state<V>
S50est, 7.853429, Seats at V=0.5
BS<V>, 2.8191, % Geometric Seat Bias at statewide<V>
BS50, 6.369840, % Simple Bias at V=0.5
BV<V>, 1.019882, % Vote Bias at statewide<V>
BV50, 1.608032, % Vote Bias at V=0.5
R<V>, 3.022008, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.774594, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 4.669071, Number of responsive districts at statewide <V>
RD50, 6.627416, Number of responsive districts at V=0.5
EG<V>fpp, -2.334378, Efficiency Gap at state<V> using first past post S
EG<V>S(V), -7.815889, Efficiency Gap at state<V> using estimated S(V)
