OH-2012, 2006AG, Definition
state<V>, 0.526103, Statewide fractional D vote
t-bias, -0.002927, state<V> minus average district D vote
S-fptp, 7, Seats from first past the post
S<V>est, 7.819261, Seats at state<V>
S50est, 6.222223, Seats at V=0.5
BS<V>, 10.0405, % Geometric Seat Bias at statewide<V>
BS50, 11.111109, % Simple Bias at V=0.5
BV<V>, 2.825573, % Vote Bias at statewide<V>
BV50, 2.832833, % Vote Bias at V=0.5
R<V>, 4.928555, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.326321, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 6.729712, Number of responsive districts at statewide <V>
RD50, 5.017669, Number of responsive districts at V=0.5
EG<V>fpp, 11.470600, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 6.350216, Efficiency Gap at state<V> using estimated S(V)
