TN-2012, 2008S, Definition
state<V>, 0.326941, Statewide fractional D vote
t-bias, -0.003905, state<V> minus average district D vote
S-fptp, 1, Seats from first past the post
S<V>est, 1.249416, Seats at state<V>
S50est, 3.167436, Seats at V=0.5
BS<V>, -6.89937, % Geometric Seat Bias at statewide<V>
BS50, 14.806269, % Simple Bias at V=0.5
BV<V>, -4.667869, % Vote Bias at statewide<V>
BV50, 2.516440, % Vote Bias at V=0.5
R<V>, 0.917169, Responsiveness as a slope in S(V) at statewide<V>
R50, 4.420990, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 0.750175, Number of responsive districts at statewide <V>
RD50, 3.594227, Number of responsive districts at V=0.5
EG<V>fpp, 4.277089, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 1.505798, Efficiency Gap at state<V> using estimated S(V)
