NC-2012, 2008T, Definition
state<V>, 0.536152, Statewide fractional D vote
t-bias, -0.001826, state<V> minus average district D vote
S-fptp, 3, Seats from first past the post
S<V>est, 5.779907, Seats at state<V>
S50est, 3.890470, Seats at V=0.5
BS<V>, 15.5427, % Geometric Seat Bias at statewide<V>
BS50, 20.073311, % Simple Bias at V=0.5
BV<V>, 4.362534, % Vote Bias at statewide<V>
BV50, 4.396490, % Vote Bias at V=0.5
R<V>, 6.537953, Responsiveness as a slope in S(V) at statewide<V>
R50, 2.447958, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 7.414106, Number of responsive districts at statewide <V>
RD50, 3.130414, Number of responsive districts at V=0.5
EG<V>fpp, 34.153477, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 12.769575, Efficiency Gap at state<V> using estimated S(V)
