MA-2012, 2010AG, Definition
state<V>, 0.628115, Statewide fractional D vote
t-bias, -0.007479, state<V> minus average district D vote
S-fptp, 9, Seats from first past the post
S<V>est, 8.938089, Seats at state<V>
S50est, 3.942736, Seats at V=0.5
BS<V>, -2.07317, % Geometric Seat Bias at statewide<V>
BS50, 6.191819, % Simple Bias at V=0.5
BV<V>, -2.037393, % Vote Bias at statewide<V>
BV50, 0.891898, % Vote Bias at V=0.5
R<V>, 0.459982, Responsiveness as a slope in S(V) at statewide<V>
R50, 6.568051, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 0.244208, Number of responsive districts at statewide <V>
RD50, 5.923065, Number of responsive districts at V=0.5
EG<V>fpp, -24.377000, Efficiency Gap at state<V> using first past post S
EG<V>S(V), -23.689095, Efficiency Gap at state<V> using estimated S(V)
