IL-2012, 2012P, Definition
state<V>, 0.585775, Statewide fractional D vote
t-bias, -0.006618, state<V> minus average district D vote
S-fptp, 12, Seats from first past the post
S<V>est, 12.360244, Seats at state<V>
S50est, 8.331207, Seats at V=0.5
BS<V>, 3.26913, % Geometric Seat Bias at statewide<V>
BS50, 3.715516, % Simple Bias at V=0.5
BV<V>, 1.679727, % Vote Bias at statewide<V>
BV50, 1.160287, % Vote Bias at V=0.5
R<V>, 2.795714, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.209621, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 3.835134, Number of responsive districts at statewide <V>
RD50, 5.555491, Number of responsive districts at V=0.5
EG<V>fpp, 0.488333, Efficiency Gap at state<V> using first past post S
EG<V>S(V), -1.513023, Efficiency Gap at state<V> using estimated S(V)
