MA-2012, 2012P, Definition
state<V>, 0.617857, Statewide fractional D vote
t-bias, -0.006241, state<V> minus average district D vote
S-fptp, 9, Seats from first past the post
S<V>est, 8.788365, Seats at state<V>
S50est, 3.854634, Seats at V=0.5
BS<V>, -2.78821, % Geometric Seat Bias at statewide<V>
BS50, 7.170730, % Simple Bias at V=0.5
BV<V>, -1.920528, % Vote Bias at statewide<V>
BV50, 1.138602, % Vote Bias at V=0.5
R<V>, 1.240854, Responsiveness as a slope in S(V) at statewide<V>
R50, 5.988446, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 0.798966, Number of responsive districts at statewide <V>
RD50, 5.220839, Number of responsive districts at V=0.5
EG<V>fpp, -26.428600, Efficiency Gap at state<V> using first past post S
EG<V>S(V), -24.077103, Efficiency Gap at state<V> using estimated S(V)
