PA-2012, 2010S, Definition
state<V>, 0.489915, Statewide fractional D vote
t-bias, -0.000008, state<V> minus average district D vote
S-fptp, 5, Seats from first past the post
S<V>est, 5.267031, Seats at state<V>
S50est, 5.681693, Seats at V=0.5
BS<V>, 18.1164, % Geometric Seat Bias at statewide<V>
BS50, 18.435041, % Simple Bias at V=0.5
BV<V>, 3.365545, % Vote Bias at statewide<V>
BV50, 4.422178, % Vote Bias at V=0.5
R<V>, 1.749567, Responsiveness as a slope in S(V) at statewide<V>
R50, 2.429683, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 2.939894, Number of responsive districts at statewide <V>
RD50, 3.774457, Number of responsive districts at V=0.5
EG<V>fpp, 20.205222, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 18.721714, Efficiency Gap at state<V> using estimated S(V)
