IL-2012, 2006C, Definition
state<V>, 0.671170, Statewide fractional D vote
t-bias, -0.002849, state<V> minus average district D vote
S-fptp, 17, Seats from first past the post
S<V>est, 16.641157, Seats at state<V>
S50est, 7.967356, Seats at V=0.5
BS<V>, 3.21495, % Geometric Seat Bias at statewide<V>
BS50, 5.736912, % Simple Bias at V=0.5
BV<V>, 1.971731, % Vote Bias at statewide<V>
BV50, 1.499802, % Vote Bias at V=0.5
R<V>, 2.391901, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.655347, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 3.156472, Number of responsive districts at statewide <V>
RD50, 6.338388, Number of responsive districts at V=0.5
EG<V>fpp, -10.210444, Efficiency Gap at state<V> using first past post S
EG<V>S(V), -8.216874, Efficiency Gap at state<V> using estimated S(V)
