MA-2012, 2010S, Definition
state<V>, 0.475928, Statewide fractional D vote
t-bias, -0.011033, state<V> minus average district D vote
S-fptp, 2, Seats from first past the post
S<V>est, 2.707475, Seats at state<V>
S50est, 3.630065, Seats at V=0.5
BS<V>, 7.32241, % Geometric Seat Bias at statewide<V>
BS50, 9.665940, % Simple Bias at V=0.5
BV<V>, 1.015886, % Vote Bias at statewide<V>
BV50, 1.630937, % Vote Bias at V=0.5
R<V>, 3.465626, Responsiveness as a slope in S(V) at statewide<V>
R50, 5.033803, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 2.586465, Number of responsive districts at statewide <V>
RD50, 4.060117, Number of responsive districts at V=0.5
EG<V>fpp, 22.963378, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 15.102540, Efficiency Gap at state<V> using estimated S(V)
