IL-2012, 2006SoS, Definition
state<V>, 0.655447, Statewide fractional D vote
t-bias, -0.006081, state<V> minus average district D vote
S-fptp, 17, Seats from first past the post
S<V>est, 16.138960, Seats at state<V>
S50est, 8.396485, Seats at V=0.5
BS<V>, 3.64171, % Geometric Seat Bias at statewide<V>
BS50, 3.352860, % Simple Bias at V=0.5
BV<V>, 1.588303, % Vote Bias at statewide<V>
BV50, 0.835811, % Vote Bias at V=0.5
R<V>, 2.765319, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.995013, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 3.477504, Number of responsive districts at statewide <V>
RD50, 6.906046, Number of responsive districts at V=0.5
EG<V>fpp, -13.355044, Efficiency Gap at state<V> using first past post S
EG<V>S(V), -8.571488, Efficiency Gap at state<V> using estimated S(V)
