CO-2012, 2004P, Definition
state<V>, 0.476336, Statewide fractional D vote
t-bias, 0.003935, state<V> minus average district D vote
S-fptp, 3, Seats from first past the post
S<V>est, 2.759045, Seats at state<V>
S50est, 3.341259, Seats at V=0.5
BS<V>, 1.96134, % Geometric Seat Bias at statewide<V>
BS50, 2.267735, % Simple Bias at V=0.5
BV<V>, 0.534391, % Vote Bias at statewide<V>
BV50, 0.603397, % Vote Bias at V=0.5
R<V>, 3.348154, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.692557, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 2.123173, Number of responsive districts at statewide <V>
RD50, 2.422153, Number of responsive districts at V=0.5
EG<V>fpp, 2.410057, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 5.852278, Efficiency Gap at state<V> using estimated S(V)
