ID,A,B,C,D,E,F,G,H,I,J,K,L
01,0.3000,0.3500,0.4400,0.5500,0.4900,0.4100,0.2500,0.1000,0.1700,0.1700,0.3500,0.1500
02,0.3000,0.3708,0.4533,0.5700,0.4950,0.4300,0.2800,0.1300,0.3700,0.2000,0.3700,0.1700
03,0.3000,0.3917,0.4667,0.5900,0.5050,0.4500,0.3100,0.1600,0.5100,0.2300,0.3900,0.1900
04,0.3000,0.4125,0.4800,0.6100,0.5050,0.5150,0.3400,0.1900,0.5500,0.2600,0.4100,0.2100
05,0.3000,0.4333,0.4933,0.6300,0.5050,0.5150,0.6000,0.7000,0.5650,0.5200,0.4300,0.2300
06,0.3400,0.4542,0.5067,0.6500,0.5050,0.5150,0.6300,0.7300,0.5750,0.5500,0.4500,0.2500
07,0.3833,0.4750,0.5200,0.6700,0.5100,0.5150,0.6600,0.7600,0.5900,0.5800,0.4700,0.2700
08,0.4267,0.4958,0.5333,0.6900,0.5450,0.5600,0.6900,0.7900,0.6300,0.6100,0.7100,0.5100
09,0.4700,0.5167,0.5467,0.7100,0.5450,0.5900,0.7200,0.8200,0.7700,0.6400,0.7100,0.5100
10,0.5133,0.5375,0.5600,0.7300,0.5450,0.6000,0.7500,0.8500,0.9700,0.6700,0.7100,0.5100
11,0.5567,0.5583,0.5733,,0.5450,,,,,,,
12,0.6000,0.5792,0.5867,,0.5450,,,,,,,
13,0.6433,0.6000,0.6000,,,,,,,,,
14,0.6867,0.6208,0.6133,,,,,,,,,
15,0.7300,0.6417,0.6267,,,,,,,,,
16,0.7733,0.6625,0.6400,,,,,,,,,
17,0.8167,0.6833,0.6533,,,,,,,,,
18,0.8600,0.7042,0.6667,,,,,,,,,
19,0.9000,0.7250,0.6800,,,,,,,,,
20,0.9000,0.7458,0.6933,,,,,,,,,
21,0.9000,0.7667,0.7067,,,,,,,,,
22,0.9000,0.7875,0.7200,,,,,,,,,
23,0.9000,0.8083,0.7333,,,,,,,,,
24,,0.8292,0.7467,,,,,,,,,
25,,0.8500,0.7600,,,,,,,,,
