PA-2012, 2012S, Definition
state<V>, 0.546310, Statewide fractional D vote
t-bias, 0.003511, state<V> minus average district D vote
S-fptp, 9, Seats from first past the post
S<V>est, 8.450412, Seats at state<V>
S50est, 5.807869, Seats at V=0.5
BS<V>, 14.1815, % Geometric Seat Bias at statewide<V>
BS50, 17.734064, % Simple Bias at V=0.5
BV<V>, 5.209897, % Vote Bias at statewide<V>
BV50, 5.233589, % Vote Bias at V=0.5
R<V>, 4.696838, Responsiveness as a slope in S(V) at statewide<V>
R50, 2.271703, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 7.240292, Number of responsive districts at statewide <V>
RD50, 3.942329, Number of responsive districts at V=0.5
EG<V>fpp, 9.262000, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 12.315264, Efficiency Gap at state<V> using estimated S(V)
