CO-2012, 2010S, Definition
state<V>, 0.508900, Statewide fractional D vote
t-bias, 0.002277, state<V> minus average district D vote
S-fptp, 3, Seats from first past the post
S<V>est, 3.584117, Seats at state<V>
S50est, 3.369150, Seats at V=0.5
BS<V>, 1.92404, % Geometric Seat Bias at statewide<V>
BS50, 1.869283, % Simple Bias at V=0.5
BV<V>, 0.539717, % Vote Bias at statewide<V>
BV50, 0.537543, % Vote Bias at V=0.5
R<V>, 3.422876, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.552059, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 2.212043, Number of responsive districts at statewide <V>
RD50, 2.249360, Number of responsive districts at V=0.5
EG<V>fpp, 8.922857, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 0.578330, Efficiency Gap at state<V> using estimated S(V)
