OH-2012, 2010SoS, Definition
state<V>, 0.435848, Statewide fractional D vote
t-bias, -0.006118, state<V> minus average district D vote
S-fptp, 4, Seats from first past the post
S<V>est, 4.034206, Seats at state<V>
S50est, 5.687467, Seats at V=0.5
BS<V>, 0.332773, % Geometric Seat Bias at statewide<V>
BS50, 14.453334, % Simple Bias at V=0.5
BV<V>, 0.054585, % Vote Bias at statewide<V>
BV50, 2.807701, % Vote Bias at V=0.5
R<V>, 0.385012, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.625101, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 0.372123, Number of responsive districts at statewide <V>
RD50, 5.144648, Number of responsive districts at V=0.5
EG<V>fpp, 12.169600, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 11.955811, Efficiency Gap at state<V> using estimated S(V)
