NC-2012, 2008A, Definition
state<V>, 0.535218, Statewide fractional D vote
t-bias, -0.002076, state<V> minus average district D vote
S-fptp, 5, Seats from first past the post
S<V>est, 5.756625, Seats at state<V>
S50est, 3.933531, Seats at V=0.5
BS<V>, 15.5699, % Geometric Seat Bias at statewide<V>
BS50, 19.742066, % Simple Bias at V=0.5
BV<V>, 4.310157, % Vote Bias at statewide<V>
BV50, 4.342486, % Vote Bias at V=0.5
R<V>, 6.723557, Responsiveness as a slope in S(V) at statewide<V>
R50, 2.498061, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 7.186035, Number of responsive districts at statewide <V>
RD50, 3.207067, Number of responsive districts at V=0.5
EG<V>fpp, 18.582062, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 12.761866, Efficiency Gap at state<V> using estimated S(V)
