IL-2012, 2006G, Definition
state<V>, 0.559187, Statewide fractional D vote
t-bias, -0.006494, state<V> minus average district D vote
S-fptp, 12, Seats from first past the post
S<V>est, 11.304039, Seats at state<V>
S50est, 8.165310, Seats at V=0.5
BS<V>, 4.67763, % Geometric Seat Bias at statewide<V>
BS50, 4.637166, % Simple Bias at V=0.5
BV<V>, 1.751724, % Vote Bias at statewide<V>
BV50, 1.360479, % Vote Bias at V=0.5
R<V>, 2.349728, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.461092, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 3.808184, Number of responsive districts at statewide <V>
RD50, 5.901940, Number of responsive districts at V=0.5
EG<V>fpp, -4.829267, Efficiency Gap at state<V> using first past post S
EG<V>S(V), -0.962817, Efficiency Gap at state<V> using estimated S(V)
