PA-2012, 2004P, Definition
state<V>, 0.512583, Statewide fractional D vote
t-bias, 0.004322, state<V> minus average district D vote
S-fptp, 6, Seats from first past the post
S<V>est, 6.455463, Seats at state<V>
S50est, 5.823472, Seats at V=0.5
BS<V>, 17.3355, % Geometric Seat Bias at statewide<V>
BS50, 17.647378, % Simple Bias at V=0.5
BV<V>, 4.004435, % Vote Bias at statewide<V>
BV50, 4.373161, % Vote Bias at V=0.5
R<V>, 3.270007, Responsiveness as a slope in S(V) at statewide<V>
R50, 2.465518, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 5.255369, Number of responsive districts at statewide <V>
RD50, 4.305051, Number of responsive districts at V=0.5
EG<V>fpp, 19.183267, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 16.652915, Efficiency Gap at state<V> using estimated S(V)
