CO-2012, 2008P, Definition
state<V>, 0.545479, Statewide fractional D vote
t-bias, 0.003563, state<V> minus average district D vote
S-fptp, 4, Seats from first past the post
S<V>est, 4.315719, Seats at state<V>
S50est, 3.382575, Seats at V=0.5
BS<V>, 3.57867, % Geometric Seat Bias at statewide<V>
BS50, 1.677495, % Simple Bias at V=0.5
BV<V>, 0.920934, % Vote Bias at statewide<V>
BV50, 0.496463, % Vote Bias at V=0.5
R<V>, 2.894933, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.489946, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 1.675508, Number of responsive districts at statewide <V>
RD50, 2.165530, Number of responsive districts at V=0.5
EG<V>fpp, 1.952943, Efficiency Gap at state<V> using first past post S
EG<V>S(V), -2.557323, Efficiency Gap at state<V> using estimated S(V)
