DISTRICT,VPI,TWO-PARTY
CD 1,0.424566,298368
CD 2,0.734292,325880
CD 3,0.564703,236149
CD 4,0.414950,329423
CD 5,0.724800,279786
CD 6,0.712606,217579
CD 7,0.534812,276194
CD 8,0.434803,203221
CD 9,0.596065,215631
CD 10,0.520687,210299
CD 11,0.715043,294760
CD 12,0.888083,306156
CD 13,0.908613,292765
CD 14,0.793478,261168
CD 15,0.706848,252139
CD 16,0.593139,147918
CD 17,0.747807,220795
CD 18,0.715537,309801
CD 19,0.735138,226575
CD 20,0.731291,233595
CD 21,0.556363,117745
CD 22,0.432360,216521
CD 23,0.380133,223864
CD 24,0.558981,284201
CD 25,0.491953,243198
CD 26,0.561968,264451
CD 27,0.651518,247453
CD 28,0.734069,256416
CD 29,0.777907,160424
CD 30,0.685624,273879
CD 31,0.586691,195771
CD 32,0.666687,196989
CD 33,0.645021,332076
CD 34,0.845979,146792
CD 35,0.680404,152624
CD 36,0.536518,202502
CD 37,0.860770,252237
CD 38,0.665681,221459
CD 39,0.491781,254540
CD 40,0.812439,136206
CD 41,0.629711,178050
CD 42,0.431785,222428
CD 43,0.782950,212799
CD 44,0.847141,175704
CD 45,0.444283,299584
CD 46,0.630194,151052
CD 47,0.614386,236667
CD 48,0.449351,299757
CD 49,0.466908,283546
CD 50,0.395210,264115
CD 51,0.700765,161408
CD 52,0.544861,302235
CD 53,0.633272,273614
