CA-2012, 2012S, Definition
state<V>, 0.625243, Statewide fractional D vote
t-bias, -0.004774, state<V> minus average district D vote
S-fptp, 41, Seats from first past the post
S<V>est, 41.314102, Seats at state<V>
S50est, 27.731033, Seats at V=0.5
BS<V>, 6.16861, % Geometric Seat Bias at statewide<V>
BS50, -2.322705, % Simple Bias at V=0.5
BV<V>, 1.985795, % Vote Bias at statewide<V>
BV50, -0.797488, % Vote Bias at V=0.5
R<V>, 2.184062, Responsiveness as a slope in S(V) at statewide<V>
R50, 2.884345, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 7.649270, Number of responsive districts at statewide <V>
RD50, 13.382394, Number of responsive districts at V=0.5
EG<V>fpp, -2.309891, Efficiency Gap at state<V> using first past post S
EG<V>S(V), -2.902535, Efficiency Gap at state<V> using estimated S(V)
