TX-2012, 2010G, Definition
state<V>, 0.434846, Statewide fractional D vote
t-bias, -0.023648, state<V> minus average district D vote
S-fptp, 11, Seats from first past the post
S<V>est, 11.286653, Seats at state<V>
S50est, 16.120599, Seats at V=0.5
BS<V>, -2.67415, % Geometric Seat Bias at statewide<V>
BS50, 5.220559, % Simple Bias at V=0.5
BV<V>, -0.584361, % Vote Bias at statewide<V>
BV50, 1.313096, % Vote Bias at V=0.5
R<V>, 0.966576, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.552619, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 2.433315, Number of responsive districts at statewide <V>
RD50, 12.019250, Number of responsive districts at V=0.5
EG<V>fpp, 6.413644, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 5.617387, Efficiency Gap at state<V> using estimated S(V)
