CO-2012, 2010AG, Definition
state<V>, 0.436737, Statewide fractional D vote
t-bias, 0.001961, state<V> minus average district D vote
S-fptp, 2, Seats from first past the post
S<V>est, 1.880184, Seats at state<V>
S50est, 3.278449, Seats at V=0.5
BS<V>, -0.190106, % Geometric Seat Bias at statewide<V>
BS50, 3.165019, % Simple Bias at V=0.5
BV<V>, -0.040398, % Vote Bias at statewide<V>
BV50, 0.786610, % Vote Bias at V=0.5
R<V>, 2.580881, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.900802, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 1.679259, Number of responsive districts at statewide <V>
RD50, 2.540264, Number of responsive districts at V=0.5
EG<V>fpp, 8.775971, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 10.487629, Efficiency Gap at state<V> using estimated S(V)
