TX-2012, 2012P, Definition
state<V>, 0.419921, Statewide fractional D vote
t-bias, -0.024179, state<V> minus average district D vote
S-fptp, 11, Seats from first past the post
S<V>est, 11.401294, Seats at state<V>
S50est, 15.622044, Seats at V=0.5
BS<V>, -3.98599, % Geometric Seat Bias at statewide<V>
BS50, 6.605435, % Simple Bias at V=0.5
BV<V>, -1.026907, % Vote Bias at statewide<V>
BV50, 1.756039, % Vote Bias at V=0.5
R<V>, 0.510239, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.179209, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 1.342355, Number of responsive districts at statewide <V>
RD50, 10.596728, Number of responsive districts at V=0.5
EG<V>fpp, 3.428644, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 2.313940, Efficiency Gap at state<V> using estimated S(V)
